seed,label,delay,capacity
64004,local_gap_matched,5,0.8822805567659737
64004,local_gap_matched,6,0.8492010103280264
64004,local_gap_matched,7,0.7771680530315452
64004,local_gap_matched,8,0.6852739695563528
64004,local_gap_matched,9,0.5854361033169861
64004,local_gap_matched,10,0.608331567031772
64004,local_gap_matched,11,0.531118836504806
64004,local_gap_matched,12,0.4966279755990738
64004,local_gap_matched,13,0.4231379651862906
64004,local_gap_matched,14,0.37796180274646946
64004,local_gap_matched,15,0.2260662349971585
64004,local_gap_matched,16,0.24286729776483038
64004,local_gap_matched,17,0.17844474735786958
64004,local_gap_matched,18,0.14503428703204507
64004,local_gap_matched,19,0.13354597149344158
64004,local_gap_matched,20,0.08117905848433818
64005,collective,1,0.9984300790361598
64005,collective,2,0.9873093728251421
64005,collective,3,0.9505121497201833
64005,collective,4,0.8649886447439384
64005,collective,5,0.7980061629524544
64005,collective,6,0.7300586096707868
64005,collective,7,0.6184054490192912
64005,collective,8,0.6325257268443462
64005,collective,9,0.5861278040044889
64005,collective,10,0.5344559036720206
64005,collective,11,0.5515755856118676
64005,collective,12,0.5173602456334471
64005,collective,13,0.5131747207632462
64005,collective,14,0.4698206878649637
64005,collective,15,0.460458616389423
64005,collective,16,0.44417999048910817
64005,collective,17,0.439246975144662
64005,collective,18,0.3761335176074988
64005,collective,19,0.36601338244309833
64005,collective,20,0.3503951504589029
64005,local_fixed,1,0.999659418153378
64005,local_fixed,2,0.9984046998074735
64005,local_fixed,3,0.9915181778858158
64005,local_fixed,4,0.9640400359516151
64005,local_fixed,5,0.8995030584845304
64005,local_fixed,6,0.7790436321490359
64005,local_fixed,7,0.6662021314670359
64005,local_fixed,8,0.5989882453744058
64005,local_fixed,9,0.543729200052101
64005,local_fixed,10,0.44725039261711735
64005,local_fixed,11,0.35526261114377944
64005,local_fixed,12,0.20130064534481318
64005,local_fixed,13,0.13611326906610816
64005,local_fixed,14,0.04287190214524119
64005,local_fixed,15,0.01978632097512223
64005,local_fixed,16,0.013726124183730789
64005,local_fixed,17,0.012666477667155871
64005,local_fixed,18,0.004108512324020884
64005,local_fixed,19,6.994172733361605e-05
64005,local_fixed,20,0.00011512980061149929
64005,local_gap_matched,1,0.9778408414270897
64005,local_gap_matched,2,0.9453937087187717
64005,local_gap_matched,3,0.9168948288249931
64005,local_gap_matched,4,0.8581768022429355
64005,local_gap_matched,5,0.8259772800032974
64005,local_gap_matched,6,0.7670553062552804
64005,local_gap_matched,7,0.7464693987078073
64005,local_gap_matched,8,0.7402262358855172
64005,local_gap_matched,9,0.7164471288942612
64005,local_gap_matched,10,0.5905607119306934
64005,local_gap_matched,11,0.5627186173558275
64005,local_gap_matched,12,0.4699690198445988
64005,local_gap_matched,13,0.5413498763500193
64005,local_gap_matched,14,0.3955484003438558
64005,local_gap_matched,15,0.4217702778340562
64005,local_gap_matched,16,0.3180265689219131
64005,local_gap_matched,17,0.3314509431182714
64005,local_gap_matched,18,0.2511235286305565
64005,local_gap_matched,19,0.2923859318429141
64005,local_gap_matched,20,0.1815805116575761
64006,collective,1,0.9995905891711382
64006,collective,2,0.9974158872808199
64006,collective,3,0.9919031060881534
64006,collective,4,0.9816446672510192
64006,collective,5,0.9682601796674215
64006,collective,6,0.9650700815861747
64006,collective,7,0.94351398015531
64006,collective,8,0.8438718626387465
64006,collective,9,0.7397717731947048
64006,collective,10,0.6558974456160517
64006,collective,11,0.6232240720655647
64006,collective,12,0.5726852797044925
64006,collective,13,0.4933755357920717
64006,collective,14,0.5090143386503723
64006,collective,15,0.44568779082271615
64006,collective,16,0.40963876542651245
64006,collective,17,0.3338717423332243
64006,collective,18,0.32436192202689895
64006,collective,19,0.2194045075113337
64006,collective,20,0.24496995345224562
64006,local_fixed,1,0.9998754223946803
64006,local_fixed,2,0.9989814162905832
64006,local_fixed,3,0.9927202127773923
64006,local_fixed,4,0.9622933430489514
64006,local_fixed,5,0.9041344466172699
64006,local_fixed,6,0.8355205917132876
64006,local_fixed,7,0.7026634477165395
64006,local_fixed,8,0.4910919014229127
64006,local_fixed,9,0.39218645203602664
64006,local_fixed,10,0.29174950233136876
64006,local_fixed,11,0.219290021062718
64006,local_fixed,12,0.16334969636717983
64006,local_fixed,13,0.15642055503904545
64006,local_fixed,14,0.11805702966127891
64006,local_fixed,15,0.10235160274858429
64006,local_fixed,16,0.05010778922892471
64006,local_fixed,17,0.016917905761841816
64006,local_fixed,18,0.016020392157727506
64006,local_fixed,19,0.003314316475372154
64006,local_fixed,20,0.00023466086126671325
64006,local_gap_matched,1,0.9941701806049025
64006,local_gap_matched,2,0.9769635937051289
64006,local_gap_matched,3,0.9699452837540918
64006,local_gap_matched,4,0.9579141493148908
64006,local_gap_matched,5,0.9323345130869067
64006,local_gap_matched,6,0.8942259775485724
64006,local_gap_matched,7,0.8063125315919888
64006,local_gap_matched,8,0.6662657376962925
64006,local_gap_matched,9,0.5862449910148183
64006,local_gap_matched,10,0.5575272118448813
64006,local_gap_matched,11,0.4467462124026698
64006,local_gap_matched,12,0.44410975792881313
64006,local_gap_matched,13,0.33462384244838633
64006,local_gap_matched,14,0.31049219979485426
64006,local_gap_matched,15,0.19968594221409855
64006,local_gap_matched,16,0.17193327044859302
64006,local_gap_matched,17,0.10849986060878956
64006,local_gap_matched,18,0.11552498387848113
64006,local_gap_matched,19,0.11977133724283763
64006,local_gap_matched,20,0.09854275305303911
64007,collective,1,0.9992228230027784
64007,collective,2,0.991807373260318
64007,collective,3,0.9674608723394509
64007,collective,4,0.90941028183962
64007,collective,5,0.8304016117449262
64007,collective,6,0.7783016674980997
64007,collective,7,0.7280122669619804
64007,collective,8,0.6258470755637626
64007,collective,9,0.6168654385507657
64007,collective,10,0.6095080866486096
64007,collective,11,0.5768240618544878
64007,collective,12,0.5184803735158325
64007,collective,13,0.5242788271782942
64007,collective,14,0.527624138562209
64007,collective,15,0.5209547859651977
64007,collective,16,0.4705303365008636
64007,collective,17,0.37592581328206737
64007,collective,18,0.32494452902098564
64007,collective,19,0.36160490814678725
64007,collective,20,0.19227050249360392
64007,local_fixed,1,0.999752132504939
64007,local_fixed,2,0.9986749990832542
64007,local_fixed,3,0.9943653066338276
64007,local_fixed,4,0.9798637717078225
64007,local_fixed,5,0.9451487869521499
64007,local_fixed,6,0.8371390374214637
64007,local_fixed,7,0.6793823693677221
64007,local_fixed,8,0.5144180844523077
64007,local_fixed,9,0.4434958382037304
64007,local_fixed,10,0.2984691798212702
64007,local_fixed,11,0.25315766116984106
64007,local_fixed,12,0.1699792628695799
64007,local_fixed,13,0.0583774171849088
64007,local_fixed,14,0.022903291354457355
64007,local_fixed,15,0.006223909567924632
64007,local_fixed,16,0.0065128995286815
64007,local_fixed,17,0.0010341075300865042
64007,local_fixed,18,6.19544976788096e-05
64007,local_fixed,19,2.130007976387943e-06
64007,local_fixed,20,1.882051726577021e-06
64007,local_gap_matched,1,0.9805782289781779
64007,local_gap_matched,2,0.9469878017905188
64007,local_gap_matched,3,0.9139359511580656
64007,local_gap_matched,4,0.9086821717352294
64007,local_gap_matched,5,0.8625293909095959
64007,local_gap_matched,6,0.8036695256751379
64007,local_gap_matched,7,0.7056648655135604
64007,local_gap_matched,8,0.6356426877769018
64007,local_gap_matched,9,0.6636704854893151
64007,local_gap_matched,10,0.6063062592228539
64007,local_gap_matched,11,0.5414132303243901
64007,local_gap_matched,12,0.4615245635666046
64007,local_gap_matched,13,0.4365221994560624
64007,local_gap_matched,14,0.36505620411019946
64007,local_gap_matched,15,0.4034465071655245
64007,local_gap_matched,16,0.29278388287988016
64007,local_gap_matched,17,0.30595962197266097
64007,local_gap_matched,18,0.18409159999144734
64007,local_gap_matched,19,0.21930934695466245
64007,local_gap_matched,20,0.17640357778205476
64008,collective,1,0.9995540663416277
64008,collective,2,0.9981057882971318
64008,collective,3,0.9935383129636413
64008,collective,4,0.9893578159540782
